method,n_evaluable,tp,tn,fp,fn,not_testable,precision,recall,specificity,f1,false_completion_rate,false_completion_rate_ci95_low,false_completion_rate_ci95_high,false_rejection_rate,balanced_accuracy,mcc
V0,12,6,0,6,0,0,0.5,1.0,0.0,0.6666666666666666,1.0,0.6096657120978346,1.0,0.0,0.5,
V1,12,6,0,6,0,0,0.5,1.0,0.0,0.6666666666666666,1.0,0.6096657120978346,1.0,0.0,0.5,
V2,12,6,1,5,0,0,0.5454545454545454,1.0,0.16666666666666666,0.7058823529411764,0.8333333333333334,0.43649717781352987,0.9699466302516935,0.0,0.5833333333333334,0.30151134457776363
V3,12,6,5,1,0,0,0.8571428571428571,1.0,0.8333333333333334,0.923076923076923,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.0,0.9166666666666667,0.8451542547285166
V4,12,6,6,0,0,0,1.0,1.0,1.0,1.0,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,1.0,1.0
